asset,max_exposure_decrease,max_exposure_increase
PersonalLoans,0.07932704724059862,0.22374547153163565
HomeLoan,0.08129644805063761,0.26503059929730116
AutoLoan,0.22139132180724286,0.24496274722333744
StudentLoan,0.15757647372486566,0.05990470633708929
BusinessLoan,0.10013118167508418,0.17012673681445722
InvestmentMortgage,0.1728986366853592,0.07623254460454372
DebtConsolidationLoan,0.06605223426878352,0.11051125396563187
PaydayLoan,0.1954928504785997,0.2966656483167866
RRSPLoan,0.11724835110877442,0.08562388572537831
PawnLoan,0.24938977515929706,0.174722038362839
CreditCard,0.12759048973089343,0.2045389335795298
RVLoan,0.16380503727045032,0.22561624263602598
BridgeLoan,0.05290513497702516,0.18991217087172851
ConstructionMortgage,0.06811172194863972,0.05244271185479592
HomeRenovationLoan,0.14812338910167122,0.131615327060998
HELOC,0.1699847086792809,0.17942791084617787
CashAdvances,0.20000513702982592,0.07196662478620834
ReverseMortgage,0.12291564467732581,0.13765673280229518
