asset,max_exposure_decrease,max_exposure_increase
PersonalLoans,0.34951033182184393,0.26297167792867576
HomeLoan,0.32567763485136436,0.46941628683221415
AutoLoan,0.47445377032043,0.26154189214460216
StudentLoan,0.30871816973498994,0.2572063161991
BusinessLoan,0.37417650508341305,0.21096490035442847
InvestmentMortgage,0.38967928637585914,0.3416200835329998
DebtConsolidationLoan,0.2039283369765001,0.3694523399787849
PaydayLoan,0.3990612116050132,0.21971259182850572
RRSPLoan,0.25341079006092543,0.4326582850085032
PawnLoan,0.48832109524083656,0.3359866504244083
CreditCard,0.2445988183259339,0.357317080798274
RVLoan,0.32438723711810713,0.3322288240814685
BridgeLoan,0.22560490042359316,0.3202289182625978
ConstructionMortgage,0.4990622755537842,0.36789209939246537
HomeRenovationLoan,0.3506585030993728,0.24657207377921375
HELOC,0.3786155051960131,0.25457843914858136
CashAdvances,0.22012294321652826,0.45853568630405517
ReverseMortgage,0.42498814111975336,0.4838346386400898
