asset,segment_id,exposure,average_profitability,risk_weight,rel_sell_cost,rel_origination_cost
PersonalLoans,PersonalLoans_Prime,41464,0.0523,0.25,0.018,0.024
PersonalLoans,PersonalLoans_Standard,66233,0.0974,0.39,0.025,0.033
PersonalLoans,PersonalLoans_Substandard,18675,0.0857,0.19,0.041,0.024
PersonalLoans,PersonalLoans_Subprime,25074,0.0957,0.14,0.041,0.046
HomeLoan,HomeLoan_Prime,21293,0.0913,0.43,0.038,0.062
HomeLoan,HomeLoan_Standard,9465,0.0017,0.11,0.019,0.011
HomeLoan,HomeLoan_Substandard,89374,0.0314,0.17,0.046,0.027
HomeLoan,HomeLoan_Subprime,38589,0.0726,0.2,0.039,0.026
AutoLoan,AutoLoan_Prime,44176,0.0686,0.35,0.034,0.06
AutoLoan,AutoLoan_Standard,14871,0.1033,0.41,0.06,0.045
AutoLoan,AutoLoan_Substandard,3224,0.1526,0.46,0.039,0.05
AutoLoan,AutoLoan_Subprime,26530,0.1727,0.35,0.028,0.056
StudentLoan,StudentLoan_Prime,27958,0.0812,0.49,0.03,0.066
StudentLoan,StudentLoan_Standard,58075,0.0231,0.15,0.023,0.035
StudentLoan,StudentLoan_Substandard,2088,0.1762,0.36,0.029,0.059
StudentLoan,StudentLoan_Subprime,60143,0.387,0.45,0.051,0.054
BusinessLoan,BusinessLoan_Prime,38930,0.0599,0.17,0.034,0.015
BusinessLoan,BusinessLoan_Standard,74065,0.0693,0.17,0.017,0.037
BusinessLoan,BusinessLoan_Substandard,36211,0.1114,0.2,0.044,0.027
BusinessLoan,BusinessLoan_Subprime,48128,0.193,0.33,0.048,0.059
InvestmentMortgage,InvestmentMortgage_Prime,6091,-0.0209,0.39,0.045,0.049
InvestmentMortgage,InvestmentMortgage_Standard,77320,-0.0174,0.23,0.021,0.02
InvestmentMortgage,InvestmentMortgage_Substandard,44047,0.5741,0.39,0.034,0.057
InvestmentMortgage,InvestmentMortgage_Subprime,69774,1.3217,0.42,0.037,0.05
DebtConsolidationLoan,DebtConsolidationLoan_Prime,54648,0.0295,0.24,0.052,0.047
DebtConsolidationLoan,DebtConsolidationLoan_Standard,66219,0.0903,0.42,0.054,0.06
DebtConsolidationLoan,DebtConsolidationLoan_Substandard,98779,0.0389,0.2,0.053,0.017
DebtConsolidationLoan,DebtConsolidationLoan_Subprime,92599,0.1081,0.38,0.031,0.047
PaydayLoan,PaydayLoan_Prime,97134,0.1046,0.47,0.066,0.047
PaydayLoan,PaydayLoan_Standard,84610,0.1175,0.44,0.04,0.06
PaydayLoan,PaydayLoan_Substandard,12936,0.102,0.11,0.014,0.039
PaydayLoan,PaydayLoan_Subprime,72751,0.2687,0.24,0.019,0.029
RRSPLoan,RRSPLoan_Prime,62963,0.0399,0.32,0.056,0.045
RRSPLoan,RRSPLoan_Standard,3415,0.0393,0.19,0.049,0.016
RRSPLoan,RRSPLoan_Substandard,80079,0.1504,0.45,0.067,0.042
RRSPLoan,RRSPLoan_Subprime,40791,0.2444,0.41,0.045,0.05
PawnLoan,PawnLoan_Prime,74020,0.1114,0.45,0.037,0.032
PawnLoan,PawnLoan_Standard,29436,0.1023,0.24,0.029,0.026
PawnLoan,PawnLoan_Substandard,68285,0.0917,0.12,0.02,0.049
PawnLoan,PawnLoan_Subprime,9851,0.1968,0.41,0.042,0.061
CreditCard,CreditCard_Prime,17536,0.1276,0.48,0.069,0.038
CreditCard,CreditCard_Standard,65315,0.1558,0.48,0.053,0.049
CreditCard,CreditCard_Substandard,19457,0.1798,0.19,0.046,0.029
CreditCard,CreditCard_Subprime,96941,0.262,0.12,0.047,0.048
RVLoan,RVLoan_Prime,76065,0.076,0.5,0.058,0.036
RVLoan,RVLoan_Standard,23219,0.0649,0.43,0.035,0.048
RVLoan,RVLoan_Substandard,87868,0.1037,0.34,0.032,0.027
RVLoan,RVLoan_Subprime,95609,0.1761,0.46,0.062,0.06
BridgeLoan,BridgeLoan_Prime,41436,0.0721,0.36,0.038,0.033
BridgeLoan,BridgeLoan_Standard,50091,0.0945,0.39,0.028,0.033
BridgeLoan,BridgeLoan_Substandard,59648,0.1238,0.37,0.057,0.038
BridgeLoan,BridgeLoan_Subprime,57007,0.1661,0.37,0.034,0.059
ConstructionMortgage,ConstructionMortgage_Prime,86862,0.0952,0.42,0.054,0.059
ConstructionMortgage,ConstructionMortgage_Standard,68333,0.0881,0.38,0.049,0.054
ConstructionMortgage,ConstructionMortgage_Substandard,74607,0.1085,0.16,0.02,0.046
ConstructionMortgage,ConstructionMortgage_Subprime,51239,0.2356,0.43,0.027,0.038
